run,rope_length_m,quality_valid,segment,measured_velocity_blend,candidate,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction
L08_VALID,0.8,True,motion_deceleration,1.0,velocity_candidate,3.995999999999995,0.03384367638203266,-0.027507392185643735,0.0063362841963889235,0.0015856567058030358,0.019732010949542064,0.5705765407554672,0.10327911712571665,0.1141374567968066,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,motion_deceleration,1.0,nominal_candidate,3.995999999999995,0.03871090559534214,-0.023637920895302252,0.015072984700039888,0.00377201819320318,0.01942507503301014,0.6043737574552683,0.24175250038269172,0.11138107282589324,0.0,0.0,0.0,0.0,0.0,0.0
L08_VALID,0.8,True,hover,0.0,velocity_candidate,20.74800000000001,0.017386869464669857,-0.018202130741996878,-0.0008152612773270201,-3.929348743623577e-05,0.0031744305180774197,0.48842592592592593,-0.02290767575916057,0.0368611671027981,6.671137704748789e-06,0.000567037567780968,0.0924023559171503,0.002400928566838555,0.010757255895771098,0.10089562995961952
L08_VALID,0.8,True,hover,0.0,nominal_candidate,20.74800000000001,0.018243849124040274,-0.024745493489893883,-0.006501644365853609,-0.0003133624622061695,0.0036902780576782953,0.5204475308641975,-0.1512385156535571,0.04129051609403157,1.0129448026073349e-05,0.000698722567710381,0.08631162595073179,0.0037323366631863736,0.013412269946432664,0.12883465758329554
L08_VALID,0.8,True,hover,0.25,velocity_candidate,20.74800000000001,0.014320520010051628,-0.02816706595874586,-0.01384654594869423,-0.000667367743815993,0.0035943020636565338,0.39197530864197533,-0.3258962737695433,0.040497595064389706,1.3703123017359057e-05,0.0008126839047512812,0.13011965077266063,0.002912331626279062,0.011847652118580963,0.10541575840457763
L08_VALID,0.8,True,hover,0.25,nominal_candidate,20.74800000000001,0.01283894397570478,-0.0323718730129256,-0.01953292903722082,-0.0009414367185859268,0.004180991936457745,0.4533179012345679,-0.4320410542931123,0.04280070178136782,2.2327094832987127e-05,0.001037356395625704,0.151756376295988,0.003680671703452664,0.013319116619623046,0.12689242228499717
L08_VALID,0.8,True,hover,0.5,velocity_candidate,20.74800000000001,0.012454240720946842,-0.03933207134100829,-0.026877830620061445,-0.0012954420001957505,0.004358426518942968,0.3715277777777778,-0.519014186372373,0.046678028103693626,2.5752468084092584e-05,0.0011140926501879646,0.15634505301567916,0.00472929518013949,0.015097675652526829,0.13539909864754568
L08_VALID,0.8,True,hover,0.5,nominal_candidate,20.74800000000001,0.010790440099293403,-0.043354653807881435,-0.03256421370858803,-0.001569510974965684,0.004957631610757584,0.35185185185185186,-0.6014250111822763,0.04707830670781118,3.954210139402417e-05,0.0013805169810102067,0.19461711568055964,0.004934567238138876,0.01542184791159699,0.15177203851104026
L08_VALID,0.8,True,hover,0.75,velocity_candidate,20.74800000000001,0.011190601693418496,-0.05109971698484715,-0.039909115291428654,-0.0019235162565755075,0.00532049173505235,0.3263888888888889,-0.6406953141075156,0.054544430926815955,4.2819172904949376e-05,0.0014365839744888268,0.17099744222756522,0.007851819228419842,0.019453467623152913,0.17181022859927758
L08_VALID,0.8,True,hover,0.75,nominal_candidate,20.74800000000001,0.009840698367061631,-0.05543619674701687,-0.04559549837995524,-0.0021975852313454412,0.005908502770478858,0.3136574074074074,-0.6984936752931054,0.05346314045960028,6.177446770918447e-05,0.0017255056524287998,0.21635616806715524,0.007494023267245009,0.019005066733897822,0.18976861100612102
L08_VALID,0.8,True,hover,1.0,velocity_candidate,20.74800000000001,0.010659659864796785,-0.06360005982759265,-0.05294039996279586,-0.002551590512955265,0.006391733651366486,0.28896604938271603,-0.712908696425116,0.06347302669986861,6.490323747992944e-05,0.0017686628781957306,0.17909789470570656,0.012279903771120112,0.024328165530746196,0.20485957731480953
L08_VALID,0.8,True,hover,1.0,nominal_candidate,20.74800000000001,0.009577043240448226,-0.06820382629177067,-0.05862678305132245,-0.0028256594877251982,0.006962583929479427,0.25848765432098764,-0.753742962812182,0.06130025570062666,8.902419377846805e-05,0.002071409219991106,0.2258614254391498,0.011359039790771063,0.023398213033938346,0.22746221032055514
L08_VALID,0.8,True,terminal_10s,0.0,velocity_candidate,10.159999999999997,0.004918529408504844,-0.011850283523494083,-0.006931754114989239,-0.0006822592632863427,0.003883014867092014,0.41218354430379744,-0.4133717838644252,0.039645137992518474,4.68406617807225e-06,0.0006789919996855873,0.16394428313972623,0.00016226441928541866,0.003996361771659587,0.010476926846930195
L08_VALID,0.8,True,terminal_10s,0.0,nominal_candidate,10.159999999999997,0.004618910672702245,-0.015324309292401648,-0.010705398619699403,-0.0010536809665058471,0.005681906018739239,0.4675632911392405,-0.5367938897746413,0.04575309936723242,1.8875185698772602e-06,0.00043102132986540584,0.04428292863122438,0.00023364731226273094,0.004795496085185005,0.011581123014831074
L08_VALID,0.8,True,terminal_10s,0.25,velocity_candidate,10.159999999999997,0.0042963600790223416,-0.014970551134878541,-0.0106741910558562,-0.0010506093558913586,0.00445898114203359,0.3805379746835443,-0.554016725221367,0.04476561447749522,6.382175497175999e-06,0.0007925697948088277,0.17861982235822096,0.00035197089034217044,0.005885813806733651,0.019245028960854352
L08_VALID,0.8,True,terminal_10s,0.25,nominal_candidate,10.159999999999997,0.0034517845293899167,-0.017899620089956277,-0.01444783556056636,-0.0014220310591108627,0.0061123012161249605,0.40585443037974683,-0.6766690912444884,0.0460589498524333,1.7492234154530858e-06,0.0004149309087080499,0.03884488642830172,0.0004179733338226352,0.006413977522544665,0.021078008253456508
L08_VALID,0.8,True,terminal_10s,0.5,velocity_candidate,10.159999999999997,0.00392792915819153,-0.018344557154914693,-0.014416627996723164,-0.0014189594484963748,0.005132229507369816,0.3180379746835443,-0.6472841780686026,0.0516468515918642,8.373954089546493e-06,0.0009078590637757455,0.18286496991321635,0.0007461174759330043,0.008569525041810943,0.03301167844882227
L08_VALID,0.8,True,terminal_10s,0.5,nominal_candidate,10.159999999999997,0.0029789421043535476,-0.02116921460578687,-0.018190272501433322,-0.0017903811517158788,0.006639951417883479,0.31962025316455694,-0.7532778886512183,0.048792636616732506,1.9045975342956538e-06,0.0004329669585936371,0.037833859174510896,0.0008067394699166219,0.008910863658115626,0.0384227879758427
L08_VALID,0.8,True,terminal_10s,0.75,velocity_candidate,10.159999999999997,0.004042042561228558,-0.022201107498818682,-0.018159064937590126,-0.001787309541101391,0.00586937859845285,0.2911392405063291,-0.6919544679674571,0.05968289609141617,1.0659401955183726e-05,0.001024282058686195,0.1814091760000138,0.00134470417605792,0.011504467533703908,0.04730563263390817
L08_VALID,0.8,True,terminal_10s,0.75,nominal_candidate,10.159999999999997,0.00286174754801873,-0.024794456990319014,-0.021932709442300285,-0.002158731244320895,0.007243634587098914,0.2634493670886076,-0.7930484246996582,0.05358385653551324,2.3536409264049625e-06,0.0004813081876475316,0.04019581627683766,0.0013999457205446904,0.011738395679328478,0.05913308928117097
L08_VALID,0.8,True,terminal_10s,1.0,velocity_candidate,10.159999999999997,0.004259375715468128,-0.02616087759392521,-0.02190150187845708,-0.0021556596337064062,0.006649209657695262,0.28322784810126583,-0.7199644807590807,0.06846833325755736,1.3238519094087695e-05,0.0011414919394561126,0.17739377315497978,0.0021477309907169187,0.014539286280385427,0.060056744325825966
L08_VALID,0.8,True,terminal_10s,1.0,nominal_candidate,10.159999999999997,0.00289923059358894,-0.02857437697675619,-0.025675146383167247,-0.002527081336925911,0.007905952678541099,0.25158227848101267,-0.8157675069749147,0.059941235732397465,3.0963535917810135e-06,0.0005520500084136128,0.044442595775219834,0.002197592085706842,0.014707087870566467,0.07886805689807241
L08_VERTICAL_INVALID,0.8,False,route,0.0,velocity_candidate,55.539999999999985,0.12363772142361655,-0.06448413260366379,0.059153588819952765,0.0010650628163477273,0.0073244658413729605,0.5553110328638498,0.31444293979462196,0.05067921728437712,3.614300411236537e-05,0.0008066946670101371,0.061600898821702485,0.004179507024727442,0.008674802421973129,0.059117708119790224
L08_VERTICAL_INVALID,0.8,False,route,0.0,nominal_candidate,55.539999999999985,0.13195726678339387,-0.08039875449696225,0.051558512286431615,0.0009283131488374438,0.008119764925531276,0.5369718309859155,0.24279279662319142,0.05771716920878132,0.00013834450258958116,0.0015782580581742503,0.1835441759535977,0.00513671561076363,0.009617004590379842,0.05123354432751134
L08_VERTICAL_INVALID,0.8,False,route,0.25,velocity_candidate,55.539999999999985,0.10982875167486905,-0.09584287601701673,0.013985875657852323,0.00025181627039705303,0.007961248128222659,0.46845657276995306,0.06800099661196048,0.05451649401011192,4.0910263472573e-05,0.0008582487914252775,0.05586219585066334,0.00709121210263865,0.011299449878928369,0.08467255300838307
L08_VERTICAL_INVALID,0.8,False,route,0.25,nominal_candidate,55.539999999999985,0.11604889936076265,-0.1096581002364315,0.006390799124331159,0.0001150666028867692,0.008653669855082965,0.48034037558685444,0.02831458100872564,0.058831295858916624,0.00016512209883269002,0.0017242477279822955,0.18373838891459987,0.006743864139095953,0.01101923559502177,0.06734969220700603
L08_VERTICAL_INVALID,0.8,False,route,0.5,velocity_candidate,55.539999999999985,0.10564332851947783,-0.136825166023726,-0.03118183750424816,-0.000561430275553622,0.009019897835315172,0.4083039906103286,-0.12860160476928303,0.06159861016534999,5.1997382873669974e-05,0.0009675820543680011,0.052221941726436946,0.01507645854596605,0.016475808340118487,0.13535965053660154
L08_VERTICAL_INVALID,0.8,False,route,0.5,nominal_candidate,55.539999999999985,0.10911561513559642,-0.14789252917336568,-0.038776914037769256,-0.0006981799430639047,0.00959608434614663,0.43720657276995306,-0.15087815268279445,0.06332177132672773,0.00019821955511668813,0.0018891668265306684,0.1706781323035174,0.013424554032844472,0.015547014224395717,0.11715819468888285
L08_VERTICAL_INVALID,0.8,False,route,0.75,velocity_candidate,55.539999999999985,0.1063352028729415,-0.1826847535392901,-0.07634955066634859,-0.0013746768215042963,0.010372032368953683,0.39069835680751175,-0.2641670548086672,0.07096058786398038,6.940436231565632e-05,0.0011178677997145964,0.05040988739279126,0.028135246354709643,0.022507249404180456,0.18317893449580128
L08_VERTICAL_INVALID,0.8,False,route,0.75,nominal_candidate,55.539999999999985,0.10812587209901856,-0.19207049929888834,-0.08394462719986978,-0.0015114264890145805,0.010840990771080578,0.41446596244131456,-0.27963238465864776,0.07054677651048379,0.00023763687144157558,0.0020684926181225556,0.15413028248190425,0.02517878529200918,0.021291901556138443,0.17531638224953858
L08_VERTICAL_INVALID,0.8,False,route,1.0,velocity_candidate,55.539999999999985,0.10895154056054636,-0.23046880438899542,-0.12151726382844906,-0.002187923367454971,0.011918178017986964,0.363556338028169,-0.35801408382433236,0.0818235717030938,9.3131201798532e-05,0.0012949251503829103,0.04965290521810981,0.04626757552886944,0.02886259886793643,0.2199139834288324
