run,rope_length_m,quality_valid,action,component,duration_s,positive_integral_j_kg,negative_integral_j_kg,net_integral_j_kg,net_mean_power_w_kg,power_rms_w_kg,positive_time_ratio,injection_bias,acceleration_rms_m_s2,power_band_energy_w2_s_kg2,power_band_rms_w_kg,power_band_fraction,acceleration_band_energy_m2_s3,acceleration_band_rms_m_s2,acceleration_band_fraction
L08_VALID,0.8,True,action_07_hold,nominal_total,5.188000000000002,0.003728055404576028,-0.00807686303409177,-0.004348807629515741,-0.0008382435677555395,0.004313002973197886,0.4884437596302003,-0.3683894685177097,0.03856678554289192,1.8342906290465698e-07,0.00018803300643297234,0.009173045292032058,0.0016837169665734493,0.018015012193603106,0.2080216165372885
L08_VALID,0.8,True,action_07_hold,position_feedback,5.188000000000002,0.0035459952291703335,-0.005166708562984139,-0.0016207133338138058,-0.00031239655624784216,0.0027878426128218944,0.4622496147919877,-0.18601726541802205,0.024056465879085203,4.062980531655203e-06,0.0008849574444132099,0.40164421398303674,0.0001584070253047368,0.005525699146809551,0.17318769744636678
L08_VALID,0.8,True,action_07_hold,velocity_error_combined,5.188000000000002,0.0027796337066688477,-0.005507728004925839,-0.0027280942982569915,-0.0005258470120001908,0.0028572760297624175,0.4067796610169492,-0.3291873087233743,0.034240126133831,5.013229938988433e-06,0.0009830120206814597,0.2104709907262756,0.0012571343017436208,0.015566495648228306,0.20933994796694266
L08_VALID,0.8,True,action_07_hold,velocity_reference,5.188000000000002,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,0.0,nan
L08_VALID,0.8,True,action_07_hold,velocity_state_feedback,5.188000000000002,0.0027796337066688477,-0.005507728004925839,-0.0027280942982569915,-0.0005258470120001908,0.0028572760297624175,0.4067796610169492,-0.3291873087233743,0.034240163137216915,5.013229938988433e-06,0.0009830120206814597,0.2104709907262756,0.0012571329908937616,0.015566487532411275,0.20933985243938008
L08_VALID,0.8,True,action_07_hold,velocity_tracking_actual,5.188000000000002,0.001199275075582911,-0.019903448917995302,-0.01870417384241239,-0.003605276376717884,0.007717127724784046,0.26348228043143296,-0.8863393108920097,0.060915637045078914,8.017253568429567e-06,0.0012431193485780401,0.11159527640020596,0.004340935523231563,0.02892621993181061,0.4140263650386471
L08_VALID,0.8,True,action_07_hold,velocity_observer_estimation,5.188000000000002,0.01668264882041019,-0.0007065733674383686,0.01597607545297182,0.0030794285761318063,0.006168256189247855,0.7996918335901386,0.9187343332777567,0.04619852134989286,5.30696785233595e-07,0.0003198329801076376,0.010990761334766895,0.0016535848898694117,0.01785308463673806,0.38787586353130826
L08_VALID,0.8,True,action_07_hold,z3_disturbance,5.188000000000002,0.0028059124159572147,-0.001373278828184652,0.0014326335877725626,0.0002761437139114422,0.0012382961180797823,0.6209553158705701,0.3428016341153902,0.01676717165563803,1.5508114709017641e-06,0.0005467383259043361,0.2742302414194895,0.00023003882404792046,0.006658870757306644,0.25263984311951043
L08_VALID,0.8,True,action_08_west,nominal_total,6.188000000000002,0.03537683414478657,-0.015051656116589549,0.02032517802819702,0.003284611833903848,0.014550493424189907,0.6085271317829457,0.4030495048106637,0.07770013127799107,1.4551660622831714e-05,0.0015334906283524994,0.06400624800195442,0.001101128363179249,0.013339631181121895,0.07403099511835093
L08_VALID,0.8,True,action_08_west,position_feedback,6.188000000000002,0.010510203668578775,-0.011176933510430555,-0.0006667298418517806,-0.00010774561115898195,0.005687458444608759,0.5710594315245479,-0.03074310068445082,0.03368059412531357,5.663853789293035e-05,0.003025386497688515,0.37989180068043793,9.602493247667378e-05,0.003939280014473394,0.04198519799766339
L08_VALID,0.8,True,action_08_west,velocity_error_combined,6.188000000000002,0.033814461964131584,-0.012822552368954205,0.02099190959517738,0.003392357723848961,0.012397516952936621,0.5478036175710594,0.4501126389706523,0.06761756004621339,1.3785741044697728e-05,0.0014925878623849483,0.0691987656919604,0.001480802610449723,0.015469398710123384,0.11838404520753515
L08_VALID,0.8,True,action_08_west,velocity_reference,6.188000000000002,0.22078715331107374,-0.20292794062616282,0.01785921268491092,0.0028861041830819186,0.08940366701157851,0.45219638242894056,0.04214910665315204,0.6128953312117723,0.02610417495104968,0.06495010136705288,0.5869590571223233,0.0003012346433438261,0.006977137882331153,0.006078963077620209
L08_VALID,0.8,True,action_08_west,velocity_state_feedback,6.188000000000002,0.21884625538578248,-0.21571355860936448,0.0031326967764180036,0.0005062535191367166,0.08853619017667456,0.5478036175710594,0.007208896624879788,0.6188938653071195,0.027303346319720735,0.06642518710197295,0.5745351168413259,0.0020574388527444423,0.018234267256535083,0.027092746707974846
