mode,attempt,window,direction,component,positive_integral,negative_integral,net_integral,mean_power,acceleration_band_055_075_energy,note
STD_L06_FULL_W05,1,west_cruise,west,z3,0.0058018462325125884,-0.007132334067340712,-0.0013304878348281235,-0.0003110234573701053,,
STD_L06_FULL_W05,1,west_cruise,west,as,0.0,-0.02481407342072068,-0.02481407342072068,-0.005919811648230109,,
STD_L06_FULL_W05,1,west_cruise,west,pas,0.0,-0.0005275150766828553,-0.0005275150766828553,-0.0001348181939517547,,
STD_L06_FULL_W05,1,west_cruise,west,final,0.002268742577240029,-0.039358163788630975,-0.03708942121139094,-0.00882172598783438,,
STD_L06_FULL_W05,1,west_decel,west,position,0.001010540713352393,-0.00040614039491627805,0.0006044003184361153,0.0005812258069345262,,
STD_L06_FULL_W05,1,west_decel,west,tracking,0.00955301784271426,-0.001447714093868809,0.00810530374884545,0.008025093023417867,,
STD_L06_FULL_W05,1,west_decel,west,observer_error,0.0005530683114666231,-0.001471387248253448,-0.000918318936786825,-0.0009049209270851861,,
STD_L06_FULL_W05,1,west_decel,west,velocity_total,0.008411641945480308,-0.0012246570319402624,0.007186984913540046,0.007120172209921293,,
STD_L06_FULL_W05,1,west_decel,west,nominal,0.009185731435460115,-0.0013943461711314095,0.007791385264328708,0.007701398047345719,,
STD_L06_FULL_W05,1,west_decel,west,z3,0.0008949183403747316,-0.0021129945354186916,-0.0012180761950439602,-0.0012036851844168268,,
STD_L06_FULL_W05,1,west_decel,west,as,0.0,-0.012509318321943238,-0.012509318321943238,-0.012576740785036237,,
STD_L06_FULL_W05,1,west_decel,west,pas,1.6927496180875291e-06,-0.005749883878917906,-0.005748191129299819,-0.005748191129299812,,
STD_L06_FULL_W05,1,west_decel,west,final,0.02860936724208292,-0.008379605203983356,0.020229762038099564,0.020027421222883278,,
STD_L06_FULL_W05,1,movement,all,position,0.026925017607617903,-0.02913137137321028,-0.002206353765592379,-8.92421113704712e-05,0.0,
STD_L06_FULL_W05,1,movement,all,tracking,0.07609254040876641,-0.08717205258315316,-0.011079512174386751,-0.00045531807741395455,0.0,
STD_L06_FULL_W05,1,movement,all,observer_error,0.04024470407972304,-0.009028971496270272,0.031215732583452775,0.001258943171914678,0.0,
STD_L06_FULL_W05,1,movement,all,velocity_total,0.07528308517519353,-0.05514686524178232,0.020136219933411203,0.0008036250765564363,0.0,
STD_L06_FULL_W05,1,movement,all,nominal,0.08329582994711918,-0.0653659642217061,0.0179298657254131,0.0007143829475744097,0.0,
STD_L06_FULL_W05,1,movement,all,z3,0.0351790244977892,-0.033486618817582435,0.0016924056802067702,7.19359299320015e-05,0.0,
STD_L06_FULL_W05,1,movement,all,as,0.0,-0.2199504247046111,-0.2199504247046111,-0.008864725718811136,0.0,
STD_L06_FULL_W05,1,movement,all,pas,6.561970629263955e-06,-0.046688573486519024,-0.046682011515889764,-0.0018811290633894574,0.0,
STD_L06_FULL_W05,1,movement,all,final,0.2653091125326757,-0.2791390413979169,-0.013829928865241207,-0.0005553916402448119,0.0,
STD_L06_FULL_W05,1,movement_accel,all,position,0.008101260882620436,-0.001210670733981705,0.00689059014863873,0.001724763351045299,,
STD_L06_FULL_W05,1,movement_accel,all,tracking,0.02533576408220683,-0.012316660599535567,0.013019103482671268,0.0032638253314074524,,
STD_L06_FULL_W05,1,movement_accel,all,observer_error,0.006646319371380741,-0.0035017070986325446,0.003144612272748198,0.0007850917423104624,,
STD_L06_FULL_W05,1,movement_accel,all,velocity_total,0.02352465965376172,-0.007360944356485439,0.016163715297276286,0.004048916966327392,,
STD_L06_FULL_W05,1,movement_accel,all,nominal,0.030861403013259403,-0.007807097644726923,0.023054305368532476,0.005773680297727288,,
STD_L06_FULL_W05,1,movement_accel,all,z3,0.012602105494464907,-0.001407592592056962,0.011194512902407942,0.002798035832279673,,
STD_L06_FULL_W05,1,movement_accel,all,as,0.0,-0.054515356058076045,-0.054515356058076045,-0.01359620418129731,,
STD_L06_FULL_W05,1,movement_accel,all,pas,0.0,-0.02021476986166084,-0.02021476986166084,-0.005057104896156644,,
STD_L06_FULL_W05,1,movement_accel,all,final,0.12568613897796582,-0.06504671107447203,0.06063942790349382,0.015146558026012337,,
STD_L06_FULL_W05,1,movement_cruise,all,position,0.011325657002981934,-0.025159570918837422,-0.013833913915855487,-0.0008130718321087764,,
STD_L06_FULL_W05,1,movement_cruise,all,tracking,0.0154297330990429,-0.06248367954543754,-0.04705394644639464,-0.0027893207551868446,,
STD_L06_FULL_W05,1,movement_cruise,all,observer_error,0.02763147718633057,-0.002086906699117206,0.025544570487213362,0.0015171296349046576,,
STD_L06_FULL_W05,1,movement_cruise,all,velocity_total,0.01781732175604009,-0.039326698204873535,-0.021509376448833446,-0.0012721911459381522,,
STD_L06_FULL_W05,1,movement_cruise,all,nominal,0.012506626488475262,-0.04784991692856791,-0.03534329044009264,-0.0020852629818756694,,
STD_L06_FULL_W05,1,movement_cruise,all,z3,0.018330214807508977,-0.027458111615495467,-0.00912789680798649,-0.0005332036863385516,,
STD_L06_FULL_W05,1,movement_cruise,all,as,0.0,-0.0966591845617531,-0.0966591845617531,-0.005732012806271839,,
STD_L06_FULL_W05,1,movement_cruise,all,pas,4.366059147287843e-07,-0.0013373337266947417,-0.0013368971207800132,-8.486875068580153e-05,,
STD_L06_FULL_W05,1,movement_cruise,all,final,0.011299109536106678,-0.15661230456575873,-0.14531319502965204,-0.008611442676076816,,
STD_L06_FULL_W05,1,movement_decel,all,position,0.007454258024507016,-0.0027554764864252917,0.004698781538081726,0.00114620990301276,,
STD_L06_FULL_W05,1,movement_decel,all,tracking,0.03517854487821731,-0.012341637431993074,0.022836907446224235,0.00561845982919042,,
STD_L06_FULL_W05,1,movement_decel,all,observer_error,0.005965843298818057,-0.003438694290362029,0.0025271490084560278,0.0006483872650728708,,
STD_L06_FULL_W05,1,movement_decel,all,velocity_total,0.03379191135795534,-0.008427854459267041,0.025364056898688293,0.006266847203046845,,
STD_L06_FULL_W05,1,movement_decel,all,nominal,0.03973476634014858,-0.009671928195850233,0.03006283814429836,0.007413057032539394,,
STD_L06_FULL_W05,1,movement_decel,all,z3,0.004172220990250957,-0.004620914610030008,-0.00044869361977905177,-9.673779501742126e-05,,
STD_L06_FULL_W05,1,movement_decel,all,as,0.0,-0.06863658922121972,-0.06863658922121972,-0.017220837643905695,,
STD_L06_FULL_W05,1,movement_decel,all,pas,6.125364714535171e-06,-0.025031414773664412,-0.025025289408949873,-0.0062438346828717324,,
STD_L06_FULL_W05,1,movement_decel,all,final,0.12808178631035855,-0.05709061094804191,0.07099117536231667,0.017513196898062324,,
STD_L06_FULL_W05,1,normal_hover,all,position,0.006104928437098098,-0.013949117860716233,-0.007844189423618135,-0.0003843580847831742,0.0,
STD_L06_FULL_W05,1,normal_hover,all,tracking,0.012979455248819228,-0.053379942413002326,-0.04040048716418309,-0.00195984759997315,0.0,
STD_L06_FULL_W05,1,normal_hover,all,observer_error,0.025464574091667993,-0.002326733623207924,0.02313784046846007,0.0011199229266344569,0.0,
STD_L06_FULL_W05,1,normal_hover,all,velocity_total,0.01341072897711,-0.03067337582469067,-0.017262646847580672,-0.0008399246801694246,0.0,
STD_L06_FULL_W05,1,normal_hover,all,nominal,0.008829831526372432,-0.033936667678782916,-0.025106836152410484,-0.0012242827596379302,0.0,
STD_L06_FULL_W05,1,normal_hover,all,z3,0.008661078220021618,-0.009465506622388143,-0.0008044284023665237,-3.739112068973761e-05,0.0,
STD_L06_FULL_W05,1,normal_hover,all,as,0.0,-0.07188512243395324,-0.07188512243395324,-0.0034930572278602068,0.0,
STD_L06_FULL_W05,1,normal_hover,all,pas,0.0,-0.0005179296755668427,-0.0005179296755668427,-2.495806069616651e-05,0.0,
STD_L06_FULL_W05,1,normal_hover,all,final,0.004943554145943328,-0.10325787017606246,-0.09831431603011913,-0.004779689139570322,0.0,
STD_L06_FULL_W05,1,final_10s,all,position,0.004037139403687438,-0.0030503609818909,0.000986778421796537,9.283481613694017e-05,9.746923138971135e-07,
STD_L06_FULL_W05,1,final_10s,all,tracking,0.004283124732606655,-0.014676110429376422,-0.010392985696769762,-0.0010408127229025329,6.872007578821132e-05,
